gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
3191	3733292	3733796	COG3865	Glyoxalase superfamily enzyme, possible 3-demethylubiquinone-9 3-methyltransferase (PDB:1TSJ)	K04750	PhnB protein
3192	3733827	3734700	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	K07506	AraC family transcriptional regulator
3193	3734713	3735298	COG1280	Threonine/homoserine/homoserine lactone efflux protein (RhtB)	K11249	cysteine/O-acetylserine efflux protein
3194	3735441	3737007	COG0840!!!COG2202	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!PAS domain (PAS) (PDB:2MWG)	K03776, K03406	aerotaxis receptor, methyl-accepting chemotaxis protein
3195	3737355	3737895	COG1670	Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)		
3196	3738009	3738114				
3197	3738238	3739087	COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase (DapA) (PDB:2R91) (PUBMED:27574185)	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
3198	3739201	3739858	COG3719	Ribonuclease I (RnaI) (PDB:1BK7)	K01166	ribonuclease T2 [EC:4.6.1.19]
3199	3740029	3740665	COG1280	Threonine/homoserine/homoserine lactone efflux protein (RhtB)	K05834	homoserine/homoserine lactone efflux protein
3200	3740795	3742127	COG3437	Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)	K19623	two-component system, probable response regulator PhcQ
3201	3742327	3744253	COG5001	Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain		
3202	3744242	3745238	COG1858	Cytochrome c peroxidase (MauG) (PDB:1EB7)	K00428	cytochrome c peroxidase [EC:1.11.1.5]
3203	3745234	3747040	COG4191	Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)		
3204	3747039	3748458	COG2204!!!COG4191	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
3205	3748502	3749915	COG4320	Uncharacterized conserved protein, DUF2252 family		
3206	3749924	3752492	COG2202!!!COG3322!!!COG5001	PAS domain (PAS) (PDB:2MWG)!!!Extracellular (periplasmic) sensor domain CHASE (specificity unknown) (CHASE4)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain		
3207	3752684	3753638	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)	K12945	GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]
3208	3753634	3754624				
3209	3754691	3755006	COG4392	Branched-chain amino acid transport protein (AzlD2)	K26606	branched chain amino acid efflux pump
3210	3755002	3755740	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance) (AzlC)	K26605	branched chain amino acid efflux pump
3211	3755944	3757141	COG3007	Trans-2-enoyl-CoA reductase (PDB:3S8M)	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
3212	3757417	3758449	COG4461	Lysozyme inhibitor LprI (LprI) (PUBMED:18369469;26589796)		
3213	3758634	3759366	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
3214	3762241	3763054	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)		
3215	3763118	3764186	COG2021	Homoserine O-acetyltransferase (MET2) (PDB:2VAT)	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
3216	3764416	3765199	COG3622	Hydroxypyruvate/dehydroerythronate isomerase, Hyi/OtnI family (Hyi) (PDB:1K77) (PUBMED:27402745)	K22131, K01816	2-dehydrotetronate isomerase [EC:5.3.1.35], hydroxypyruvate isomerase [EC:5.3.1.22]
3217	3765220	3766684	COG2610	H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)	K03299	gluconate:H+ symporter, GntP family
3218	3766870	3767509	COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)	K22130	3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
3219	3767505	3768798	COG3395	D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family (OtnK) (PDB:1YZY) (PUBMED:27402745)	K21948	3-dehydrotetronate 4-kinase [EC:2.7.1.217]
3220	3768808	3769714	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)	K08319, K00020	L-threonate 2-dehydrogenase [EC:1.1.1.411], 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
3221	3770260	3770611				
3222	3770577	3770703				
3223	3771021	3771312				
3224	3771595	3774307	COG0474	Magnesium-transporting ATPase (P-type) (MgtA) (PDB:1IWO)	K01531	P-type Mg2+ transporter [EC:7.2.2.14]
3225	3774431	3774632				
3226	3774660	3776364	COG1283	Na+/phosphate symporter (NptA)	K03324	phosphate:Na+ symporter
3227	3776351	3776702				
3228	3776778	3777564				
3229	3777664	3778843	COG0436	Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	K12252	arginine:pyruvate transaminase [EC:2.6.1.84]
3230	3778927	3780553	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	K03406	methyl-accepting chemotaxis protein
3231	3780933	3782496	COG2368	Aromatic ring hydroxylase (YoaI) (PDB:1U8V)	K00483	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
3232	3782520	3783150	COG1853	FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)	K00484	flavin reductase (NADH) [EC:1.5.1.36]
3233	3783353	3784331	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)		
3234	3784466	3785339	COG4313	Sphingosine uptake channel SphA-related outer membrane channel (SphA) (PDB:4RL8) (PUBMED:26149193)		
3235	3785363	3786527	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)		
3236	3786616	3787738	COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase (AcuC) (PDB:1C3P)		
3237	3787906	3788953	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	K14063	AraC family transcriptional regulator, positive regulator of tynA and feaB
3238	3789279	3789813	COG1917	Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	K05913	2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]
3239	3789847	3791128	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K08223	MFS transporter, FSR family, fosmidomycin resistance protein
3240	3791124	3792192	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
3241	3792248	3793550	COG3659	Carbohydrate-selective porin OprB (OprB) (PDB:4GEY)	K07267	porin
3242	3793585	3795247	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)		
3243	3795158	3795656				
3244	3795770	3796700	COG1917!!!COG2207	Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)!!!AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	K02508, K18954	AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein, AraC family transcriptional regulator, transcriptional activator of pobA
3245	3796898	3797558	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	K05921	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
3246	3797567	3798368	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	K05921	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
3247	3798368	3799829	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	K00151	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
3248	3799883	3800741	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family (LigB) (PDB:2PW6) (PUBMED:23258706)	K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
3249	3800806	3801196	COG3232	5-carboxymethyl-2-hydroxymuconate isomerase (HpaF) (PDB:1OTG)	K01826	5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]
3250	3801331	3802639	COG2271	Sugar phosphate permease (UhpC) (PDB:1PW4)		
3251	3802641	3803445	COG3971	2-keto-4-pentenoate hydratase (MhpD) (PDB:1SV6)	K02509	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]
3252	3803455	3804256	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)	K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
3253	3804355	3805495	COG1929	Glycerate kinase (GlxK) (PDB:1TO6)	K00865	glycerate 2-kinase [EC:2.7.1.165]
3254	3805803	3806925	COG3835	Sugar diacid utilization regulator CdaR (CdaR)	K02647	carbohydrate diacid regulator
3255	3807116	3808427	COG2271	Sugar phosphate permease (UhpC) (PDB:1PW4)	K13021	MFS transporter, ACS family, tartrate transporter
3256	3808505	3808916	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)		
3257	3808912	3809644	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)		
3258	3809744	3810644	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3259	3810871	3811885	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family (PdxI) (PDB:1LQA) (PUBMED:32253339)	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]
3260	3812089	3812971	COG2962	Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family (RarD) (PUBMED:26335199)	K05786	chloramphenicol-sensitive protein RarD
3261	3813019	3813442	COG1846	DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)		
3262	3813570	3814647	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	K00457	4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
3263	3814898	3815855	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)		
3264	3815940	3816813	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3265	3816901	3818440	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)	K26148	c-di-GMP phosphodiesterase [EC:3.1.4.52]
3266	3818683	3819049			K03746	DNA-binding protein H-NS
3267	3819279	3819807				
3268	3820005	3820527	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	K01759	lactoylglutathione lyase [EC:4.4.1.5]
3269	3820699	3822265	COG3634	Alkyl hydroperoxide reductase subunit AhpF (AhpF) (PDB:4YKG)	K03387	NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
3270	3822389	3822953	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) (AhpC) (PDB:2RII)	K24119	NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]
3271	3823104	3824043	COG4974	Site-specific recombinase XerD (XerD) (PDB:1A0P)		
3272	3824223	3825231	COG3264	Small-conductance mechanosensitive channel MscK (MscK)		
3273	3825231	3826590	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)	K00383	glutathione reductase (NADPH) [EC:1.8.1.7]
3274	3826720	3827560	COG1210	UTP-glucose-1-phosphate uridylyltransferase (GalU) (PDB:2E3D)	K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
3275	3827721	3827991				
3276	3828025	3828307				
3277	3828321	3828552				
3278	3828621	3829542	COG3258	Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain (TsdA) (PUBMED:32457501)	K19713	thiosulfate dehydrogenase [EC:1.8.2.2]
3279	3829538	3830189	COG2863	Cytochrome c553 (CytC553) (PDB:6Q2U)	K17230	cytochrome subunit of sulfide dehydrogenase
3280	3830486	3830837				
3281	3831048	3831351				
3282	3831380	3831551				
3283	3831654	3832371	COG3826	Uncharacterized conserved protein	K09990	uncharacterized protein
3284	3832360	3833041	COG3145	Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC)	K03919	DNA oxidative demethylase [EC:1.14.11.33]
3285	3833069	3834212	COG0350!!!COG2169	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)	K10778	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]
3286	3834163	3834652	COG3708	Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain (YdeE)		
3287	3834866	3835931	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)	K00459	nitronate monooxygenase [EC:1.13.12.16]
3288	3836105	3836873	COG0725	ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)	K02020	molybdate transport system substrate-binding protein
3289	3836873	3837554	COG4149	ABC-type molybdate transport system, permease component ModB (ModB)	K02018	molybdate transport system permease protein
3290	3837558	3838641	COG4148	ABC-type molybdate transport system, ATPase component ModC (ModC)	K02017	molybdate transport system ATP-binding protein [EC:7.3.2.5]
3291	3838682	3839759	COG3569	DNA topoisomerase IB (Top1) (PDB:1A31)		
3292	3839937	3841575	COG0488	ATPase components of ABC transporters with duplicated ATPase domains (Uup) (PDB:5ZXD)		
3293	3841663	3842056	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)		
3294	3842076	3842397	COG0393	Uncharacterized pentameric protein YbjQ, UPF0145 family (YbjQ) (PDB:1VR4) (PUBMED:23935051)		
3295	3842520	3842679				
3296	3842858	3843143				
3297	3843336	3843723	COG3895	Membrane-bound inhibitor of C-type lysozyme (MliC) (PDB:2F09)		
3298	3843992	3844667				
3299	3844727	3845327	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)		
3300	3845544	3846492				
3301	3846563	3846947	COG2863	Cytochrome c553 (CytC553) (PDB:6Q2U)		
3302	3850346	3850667				
3303	3850932	3851565				
3304	3851866	3852043				
3305	3852642	3852843				
3306	3853111	3853375				
3307	3853727	3854216	COG0645	Predicted kinase, contains AAA domain (PDB:2RHM)		
3308	3854808	3856167	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
3309	3856221	3856758	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)		
3310	3856853	3857588	COG0560	Phosphoserine phosphatase (SerB) (PDB:3N28)	K18697	phosphatidylglycerophosphatase C [EC:3.1.3.27]
3311	3857713	3858199	COG1733	DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)		
3312	3858315	3859584	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase (FabB) (PDB:2UV8) (PUBMED:21652641)	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
3313	3859648	3860116	COG5455	Periplasmic regulator RcnB of Ni and Co efflux (RcnB) (PDB:2L1S)		
3314	3860248	3860482	COG5645	Uncharacterized conserved protein YceK (YceK)		
3315	3860551	3861055				
3316	3861251	3861497				
3317	3861601	3862243				
3318	3862377	3863346	COG1171	Threonine deaminase (IlvA) (PDB:3IAU)	K01754	threonine dehydratase [EC:4.3.1.19]
3319	3863573	3864047				
3320	3864137	3864275				
3321	3864768	3865242				
3322	3865362	3865524				
3323	3865968	3866532				
3324	3866557	3866953				
3325	3867471	3868158	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)		
3326	3868165	3869215				
3327	3869477	3869864	COG5361	Uncharacterized conserved protein (PDB:2P3Y)		
3328	3870079	3871123				
3329	3871262	3871643				
3330	3871860	3872220				
3331	3872510	3872993				
3332	3873135	3874098	COG0782!!!COG1670	Transcription elongation factor, GreA/GreB family (GreA) (PDB:1GRJ)!!!Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	K06140	regulator of nucleoside diphosphate kinase
3333	3874243	3874627				
3334	3874694	3875672	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)	K01501	nitrilase [EC:3.5.5.1]
3335	3875711	3877148	COG1457	Purine-cytosine permease or related protein (CodB)	K03457	nucleobase:cation symporter-1, NCS1 family
3336	3877426	3878356	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K21699	LysR family transcriptional regulator, transcriptional activator for bauABCD operon
3337	3878751	3879306	COG4733	Phage-related protein, tail protein J		
3338	3879325	3879853	COG0431	NAD(P)H-dependent FMN reductase (SsuE) (PDB:6DQI)	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)
3339	3880352	3880736	COG4974	Site-specific recombinase XerD (XerD) (PDB:1A0P)		
3340	3880739	3880985				
3341	3880977	3881175	COG4974	Site-specific recombinase XerD (XerD) (PDB:1A0P)		
3342	3881753	3882854	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K11073	putrescine transport system substrate-binding protein
3343	3882907	3884326	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	K12256	putrescine---pyruvate transaminase [EC:2.6.1.113]
3344	3884322	3885282	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)		
3345	3885387	3886428	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K02055	putative spermidine/putrescine transport system substrate-binding protein
3346	3889515	3890664	COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities (MalY) (PDB:4DGT)	K14155	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
3347	3890942	3892001	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	K03862	vanillate monooxygenase [EC:1.14.13.82]
3348	3892056	3893007	COG0633!!!COG1018	Ferredoxin (Fdx) (PDB:1KRH)!!!Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)	K03863	vanillate monooxygenase ferredoxin subunit
3349	3893011	3893725	COG1802	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)	K11475	GntR family transcriptional regulator, vanillate catabolism transcriptional regulator
3350	3893992	3895249			K18093	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
3351	3895369	3896845	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)		
3352	3896983	3897907	COG1893	Ketopantoate reductase (PanE) (PDB:1BG6)	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]
3353	3897950	3899342	COG2271	Sugar phosphate permease (UhpC) (PDB:1PW4)		
3354	3899423	3901010	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)	K01576	benzoylformate decarboxylase [EC:4.1.1.7]
3355	3901125	3902022	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3356	3902044	3903370	COG2271	Sugar phosphate permease (UhpC) (PDB:1PW4)		
3357	3914955	3915963	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	K00344	NADPH:quinone reductase [EC:1.6.5.5]
3358	3916179	3917151	COG0456!!!COG1846	Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)!!!DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)		
3359	3917332	3917842	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K23514, K03088	RNA polymerase sigma-19 factor, ECF subfamily, RNA polymerase sigma-70 factor, ECF subfamily
3360	3917838	3918822	COG3712	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)	K07165	transmembrane sensor
3361	3918938	3921359	COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid (FhuE) (PDB:3EFM)	K02014, K16088	iron complex outermembrane recepter protein, outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
3362	3921532	3922474	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	K06889	uncharacterized protein
3363	3922550	3923021				
3364	3923377	3924802	COG1169	Isochorismate synthase EntC (MenF) (PDB:5JXZ)	K01851, K02552	salicylate biosynthesis isochorismate synthase [EC:5.4.4.2], menaquinone-specific isochorismate synthase [EC:5.4.4.2]
3365	3924794	3925145	COG1605	Chorismate mutase (PheA) (PDB:1ECM)	K04782	isochorismate pyruvate lyase [EC:4.2.99.21]
3366	3925141	3925921	COG3208	Surfactin synthase thioesterase subunit (GrsT) (PDB:6VAP)	K12242	pyochelin biosynthesis protein PchC
3367	3925917	3927033	COG1748	Saccharopine dehydrogenase, NADP-dependent (Lys9) (PDB:1E5L)		
3368	3927029	3932453	COG1020!!!COG2226!!!COG3319	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	K12240	L-cysteine---[L-cysteinyl-carrier protein] ligase PchF [EC:6.2.1.69]
3369	3932449	3935920	COG1020!!!COG3433	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Acyl carrier protein/domain (AcpA) (PDB:2FQ1) (PUBMED:8759840;20663952)		
3370	3935909	3937676	COG1132	ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)	K14699	ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]
3371	3937672	3939418	COG1132	ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)	K14698	ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]
3372	3939410	3941078	COG1021	EntE, 2,3-dihydroxybenzoate-AMP synthase component of non-ribosomal peptide synthetase (EntE) (PDB:3RG2)	K02363, K12238	2,3-dihydroxybenzoate---[aryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.71], salicylate---[aryl-carrier protein] ligase [EC:6.2.1.61]
3373	3941453	3942356	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	K12243	AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors
3374	3942533	3944765	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	K02014	iron complex outermembrane recepter protein
3375	3944772	3945654	COG3182	PepSY-associated TM region (PiuB) (PUBMED:15124630)		
3376	3945640	3946774	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)	K02016	iron complex transport system substrate-binding protein
3377	3946770	3947838	COG0609	ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)	K02015	iron complex transport system permease protein
3378	3947834	3948665	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]
3379	3948668	3949883	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)		
3380	3950071	3951250	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K08159	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
3381	3951382	3951982	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	K22041, K16137	TetR/AcrR family transcriptional regulator, copper-responsive repressor, TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
3382	3952126	3953014	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	K01561	haloacetate dehalogenase [EC:3.8.1.3]
3383	3953036	3954092	COG1082	Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)		
3384	3954294	3956034	COG1574	Predicted amidohydrolase YtcJ (YtcJ) (PDB:3ICJ)		
3385	3956140	3957055	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3386	3957054	3957258				
3387	3957408	3958392				
3388	3958416	3959454	COG0620	Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L)	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
3389	3959560	3960070	COG1853	FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)	K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]
3390	3960157	3960628	COG1522	DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
3391	3960752	3962006	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	K01761	methionine-gamma-lyase [EC:4.4.1.11]
3392	3962127	3963261	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)	K01999	branched-chain amino acid transport system substrate-binding protein
3393	3965666	3966041				
3394	3966541	3968794	COG4625	Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	K20276	large repetitive protein
3395	3968790	3970473	COG4625	Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain		
3396	3970613	3972026	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	K12256	putrescine---pyruvate transaminase [EC:2.6.1.113]
